Q1-match_id,Q2-player1,Q3-player2,Q4-elapsed_time,Q5-set_no,Q6-game_no,Q7-point_no,Q8-p1_sets,Q9-p2_sets,Q10-p1_games,Q11-p2_games,Q12-p1_score,Q13-p2_score,Q14-server,Q15-serve_no,Q16-point_victor,Q17-p1_points_won,Q18-p2_points_won,Q19-game_victor,Q20-set_victor,Q21-p1_ace,Q22-p2_ace,Q23-p1_winner,Q24-p2_winner,Q25-winner_shot_type,Q26-p1_double_fault,Q27-p2_double_fault,Q28-p1_unf_err,Q29-p2_unf_err,Q30-p1_net_pt,Q31-p2_net_pt,Q32-p1_net_pt_won,Q33-p2_net_pt_won,Q34-p1_break_pt,Q35-p2_break_pt,Q36-p1_break_pt_won,Q37-p2_break_pt_won,Q38-p1_break_pt_missed,Q39-p2_break_pt_missed,Q40-p1_distance_run,Q41-p2_distance_run,Q42-rally_count,Q43-speed_mph,Q44-serve_width,Q45-serve_depth,Q46-return_depth
18.0,7.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.382,9.02,3.0,122.0,5.0,1.0,1.0
18.0,7.0,8.0,2843.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667,10.946,3.0,95.0,3.0,1.0,1.0
18.0,7.0,8.0,2844.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144,3.33,1.0,119.0,4.0,1.0,2.0
18.0,7.0,8.0,2845.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.757,10.554,1.0,121.0,5.0,1.0,1.0
18.0,7.0,8.0,1866.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.608,27.487,7.0,122.0,5.0,2.0,1.0
18.0,7.0,8.0,2846.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.814,8.178,2.0,99.0,1.0,1.0,2.0
18.0,7.0,8.0,517.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.263,17.453,5.0,124.0,3.0,2.0,1.0
18.0,7.0,8.0,2847.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.715,8.68,2.0,128.0,1.0,1.0,1.0
18.0,7.0,8.0,2848.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,5.0,4.0,2.0,2.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.959,17.875,5.0,95.0,3.0,2.0,2.0
18.0,7.0,8.0,2849.0,1.0,3.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58,14.027,4.0,118.0,5.0,1.0,1.0
18.0,7.0,8.0,2850.0,1.0,3.0,13.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.464,23.632,4.0,124.0,4.0,2.0,1.0
18.0,7.0,8.0,2851.0,1.0,3.0,14.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.036,17.747,2.0,118.0,4.0,2.0,1.0
18.0,7.0,8.0,2852.0,1.0,3.0,15.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.378,13.475,2.0,101.0,4.0,2.0,1.0
18.0,7.0,8.0,2853.0,1.0,4.0,16.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.759,15.471,3.0,94.0,1.0,1.0,1.0
18.0,7.0,8.0,261.0,1.0,4.0,17.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416,9.397,3.0,112.0,4.0,1.0,1.0
18.0,7.0,8.0,1672.0,1.0,4.0,18.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.604,5.976,1.0,127.0,5.0,1.0,2.0
18.0,7.0,8.0,794.0,1.0,5.0,20.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.796,5.547,1.0,125.0,5.0,2.0,1.0
18.0,7.0,8.0,2854.0,1.0,5.0,21.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,6.365,1.0,122.0,4.0,2.0,2.0
18.0,7.0,8.0,2855.0,1.0,5.0,22.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,4.312,1.0,121.0,5.0,1.0,1.0
18.0,7.0,8.0,424.0,1.0,5.0,23.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.824,5.292,2.0,119.0,5.0,2.0,1.0
18.0,7.0,8.0,1404.0,1.0,6.0,25.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.377,25.395,7.0,114.0,4.0,1.0,1.0
18.0,7.0,8.0,2856.0,1.0,6.0,26.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.937,13.715,3.0,94.0,3.0,1.0,1.0
18.0,7.0,8.0,1678.0,1.0,6.0,28.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,12.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.784,12.025,4.0,124.0,4.0,2.0,1.0
